Time,Event
04:16.193,"Lemme At'em Circle of Scorn Erichthonios Tick  1028 (T: 728, C: 34.2%, D: 19.2%, P/R: 18.36, G: 759.93, M: 1.38, S: 917)+38% damage"
04:16.193,"Lemme At'em Goring Blade Erichthonios Tick  2370 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage"
04:17.086,Lemme At'em prepares  Riot Blade  on Erichthonios 7815 (+43%)+46% damage
04:17.441,Lemme At'em prepares  attack  on Erichthonios *2634*+46% damage
04:17.841,Lemme At'em Riot Blade Erichthonios 7815 (+43%)
04:17.975,Lemme At'em attack Erichthonios *2634*
04:18.376,Lemme At'em prepares  Requiescat  on Erichthonios *12811*+17% damage
04:19.002,Lemme At'em Requiescat Erichthonios *12811*
04:19.180,"Lemme At'em Circle of Scorn Erichthonios Tick  961 (T: 728, C: 34.2%, D: 19.2%, P/R: 18.36, G: 759.93, M: 1.38, S: 917)+38% damage"
04:19.180,"Lemme At'em Goring Blade Erichthonios Tick  2216 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage"
04:19.492,Lemme At'em prepares  Royal Authority  on Erichthonios *16811* (+69%)+46% damage
04:19.715,Lemme At'em prepares  attack  on Erichthonios *2640*+46% damage
04:20.072,Lemme At'em Royal Authority Erichthonios *16811* (+69%)
04:20.251,Lemme At'em attack Erichthonios *2640*
04:21.896,Lemme At'em prepares  Atonement  on Erichthonios *16934*+46% damage
04:21.985,Lemme At'em prepares  attack  on Erichthonios *2650*+46% damage
04:22.209,"Lemme At'em Circle of Scorn Erichthonios Tick  857 (T: 728, C: 34.2%, D: 19.2%, P/R: 18.36, G: 759.93, M: 1.38, S: 917)+38% damage"
04:22.209,"Lemme At'em Goring Blade Erichthonios Tick  1977 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage"
04:22.521,Lemme At'em attack Erichthonios *2650*
04:23.188,Lemme At'em Atonement Erichthonios *16934*
04:24.258,Lemme At'em prepares  attack  on Erichthonios 1715+46% damage
04:24.304,Lemme At'em prepares  Atonement  on Erichthonios 10501+46% damage
04:24.794,Lemme At'em attack Erichthonios 1715
04:25.195,"Lemme At'em Circle of Scorn Erichthonios Tick  950 (T: 728, C: 34.2%, D: 19.2%, P/R: 18.36, G: 759.93, M: 1.38, S: 917)+38% damage"
04:25.195,"Lemme At'em Goring Blade Erichthonios Tick  2190 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage"
04:25.596,Lemme At'em Atonement Erichthonios 10501
04:26.530,Lemme At'em prepares  attack  on Erichthonios 2027 (Direct Hit)+31% damage
04:26.752,Lemme At'em prepares  Atonement  on Erichthonios *14566*+31% damage
04:27.063,Lemme At'em attack Erichthonios 2027 (Direct Hit)
04:28.043,Lemme At'em Atonement Erichthonios *14566*
04:28.177,"Lemme At'em Goring Blade Erichthonios Tick  2446 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage"
04:28.801,Lemme At'em prepares  attack  on Erichthonios *2525*+31% damage
04:29.158,Lemme At'em prepares  Fast Blade  on Erichthonios 4479+31% damage
04:29.335,Lemme At'em attack Erichthonios *2525*
04:29.778,Lemme At'em Fast Blade Erichthonios 4479
04:31.073,Lemme At'em prepares  attack  on Erichthonios 1990 (Direct Hit)+31% damage
04:31.207,"Lemme At'em Goring Blade Erichthonios Tick  2108 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage"
04:31.563,Lemme At'em prepares  Riot Blade  on Erichthonios 6401 (+43%)+25% damage
04:31.608,Lemme At'em attack Erichthonios 1990 (Direct Hit)
04:32.321,Lemme At'em Riot Blade Erichthonios 6401 (+43%)
04:33.345,Lemme At'em prepares  attack  on Erichthonios 1823 (Direct Hit)+25% damage
04:33.881,Lemme At'em attack Erichthonios 1823 (Direct Hit)
04:34.057,Lemme At'em prepares  Goring Blade  on Erichthonios 5326 (+60%)+25% damage
04:34.591,Lemme At'em Goring Blade Erichthonios 5326 (+60%)
04:35.616,Lemme At'em prepares  attack  on Erichthonios *2465* (Direct Hit)
04:36.151,Lemme At'em attack Erichthonios *2465* (Direct Hit)
04:36.462,Lemme At'em prepares  Holy Spirit  on Erichthonios 11756 (Direct Hit)
04:37.219,Lemme At'em Holy Spirit Erichthonios 11756 (Direct Hit)
04:37.219,"Lemme At'em Goring Blade Erichthonios Tick  1838 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
04:37.887,Lemme At'em prepares  attack  on Erichthonios 1147
04:38.421,Lemme At'em attack Erichthonios 1147
04:38.954,Lemme At'em prepares  Holy Spirit  on Erichthonios *14094*
04:39.712,Lemme At'em Holy Spirit Erichthonios *14094*
04:40.159,Lemme At'em prepares  attack  on Erichthonios 1189
04:40.203,"Lemme At'em Goring Blade Erichthonios Tick  1682 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
04:40.381,Lemme At'em prepares  Circle of Scorn  on Erichthonios 1775
04:40.693,Lemme At'em attack Erichthonios 1189
04:41.407,Lemme At'em Circle of Scorn Erichthonios 1775
04:41.452,Lemme At'em prepares  Holy Spirit  on Erichthonios 11029 (Direct Hit)
04:42.210,Lemme At'em Holy Spirit Erichthonios 11029 (Direct Hit)
04:42.431,Lemme At'em prepares  attack  on Erichthonios 1433 (Direct Hit)
04:42.965,Lemme At'em attack Erichthonios 1433 (Direct Hit)
04:43.187,"Lemme At'em Goring Blade Erichthonios Tick  1661 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
04:43.187,"Lemme At'em Circle of Scorn Erichthonios Tick  611 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
04:43.364,Lemme At'em prepares  Expiacion  on Erichthonios 7594 (Direct Hit)
04:43.721,Lemme At'em Expiacion Erichthonios 7594 (Direct Hit)
04:44.034,Lemme At'em prepares  Holy Spirit  on Erichthonios *15102*
04:44.701,Lemme At'em prepares  attack  on Erichthonios *2373* (Direct Hit)
04:44.789,Lemme At'em Holy Spirit Erichthonios *15102*
04:45.235,Lemme At'em attack Erichthonios *2373* (Direct Hit)
04:46.212,"Lemme At'em Goring Blade Erichthonios Tick  1663 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
04:46.212,"Lemme At'em Circle of Scorn Erichthonios Tick  612 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
04:46.569,Lemme At'em prepares  Confiteor  on Erichthonios *24623*
04:46.970,Lemme At'em prepares  attack  on Erichthonios 1219
04:47.193,Lemme At'em Confiteor Erichthonios *24623*
04:47.505,Lemme At'em attack Erichthonios 1219
04:49.064,Lemme At'em prepares  Blade of Faith  on Erichthonios *11092*
04:49.199,"Lemme At'em Goring Blade Erichthonios Tick  2028 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
04:49.199,"Lemme At'em Circle of Scorn Erichthonios Tick  746 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
04:49.242,Lemme At'em prepares  attack  on Erichthonios 1499 (Direct Hit)
04:49.731,Lemme At'em Blade of Faith Erichthonios *11092*
04:49.776,Lemme At'em attack Erichthonios 1499 (Direct Hit)
04:51.512,Lemme At'em prepares  attack  on Erichthonios *1968*
04:51.557,Lemme At'em prepares  Blade of Truth  on Erichthonios 8239
04:52.046,Lemme At'em attack Erichthonios *1968*
04:52.179,"Lemme At'em Goring Blade Erichthonios Tick  1589 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
04:52.179,"Lemme At'em Circle of Scorn Erichthonios Tick  584 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
04:52.446,Lemme At'em Blade of Truth Erichthonios 8239
04:53.782,Lemme At'em prepares  attack  on Erichthonios 1175
04:54.048,Lemme At'em prepares  Blade of Valor  on Erichthonios *16286*
04:54.315,Lemme At'em attack Erichthonios 1175
04:54.940,Lemme At'em Blade of Valor Erichthonios *16286*
04:55.205,"Lemme At'em Circle of Scorn Erichthonios Tick  533 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
04:55.205,"Lemme At'em Blade of Valor Erichthonios Tick  1427 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
04:56.051,Lemme At'em prepares  attack  on Erichthonios 1161
04:56.539,Lemme At'em prepares  Fast Blade  on Erichthonios 3573
04:56.583,Lemme At'em attack Erichthonios 1161
04:57.162,Lemme At'em Fast Blade Erichthonios 3573
04:58.188,"Lemme At'em Blade of Valor Erichthonios Tick  1832 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
04:58.321,Lemme At'em prepares  attack  on Erichthonios *1858*
04:58.856,Lemme At'em attack Erichthonios *1858*
04:58.944,Lemme At'em prepares  Riot Blade  on Erichthonios 5124 (+43%)
04:59.702,Lemme At'em Riot Blade Erichthonios 5124 (+43%)
05:00.592,Lemme At'em prepares  attack  on Erichthonios 1187
05:01.125,Lemme At'em attack Erichthonios 1187
05:01.215,"Lemme At'em Blade of Valor Erichthonios Tick  1752 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
05:01.393,Lemme At'em prepares  Royal Authority  on Erichthonios 7093 (+69%)
05:01.972,Lemme At'em Royal Authority Erichthonios 7093 (+69%)
05:02.862,Lemme At'em prepares  attack  on Erichthonios 1200
05:03.396,Lemme At'em attack Erichthonios 1200
05:03.797,Lemme At'em prepares  Atonement  on Erichthonios 7504
05:04.199,"Lemme At'em Blade of Valor Erichthonios Tick  1523 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
05:05.088,Lemme At'em Atonement Erichthonios 7504
05:05.133,Lemme At'em prepares  attack  on Erichthonios 1128
05:05.667,Lemme At'em attack Erichthonios 1128
05:06.200,Lemme At'em prepares  Atonement  on Erichthonios 8657 (Direct Hit)
05:07.179,"Lemme At'em Blade of Valor Erichthonios Tick  1703 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
05:07.400,Lemme At'em prepares  attack  on Erichthonios 1134
05:07.489,Lemme At'em Atonement Erichthonios 8657 (Direct Hit)
05:07.933,Lemme At'em attack Erichthonios 1134
05:08.646,Lemme At'em prepares  Fast Blade  on Erichthonios 3505
05:09.271,Lemme At'em Fast Blade Erichthonios 3505
05:09.671,Lemme At'em prepares  attack  on Erichthonios 1231
05:10.203,Lemme At'em attack Erichthonios 1231
05:10.203,"Lemme At'em Blade of Valor Erichthonios Tick  1523 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
05:11.049,Lemme At'em prepares  Riot Blade  on Erichthonios 6376 (+43%)+25% damage
05:11.672,Lemme At'em prepares  Circle of Scorn  on Erichthonios *4368* (Direct Hit)+25% damage
05:11.806,Lemme At'em Riot Blade Erichthonios 6376 (+43%)
05:11.940,Lemme At'em prepares  attack  on Erichthonios 1933 (Direct Hit)+25% damage
05:12.296,Lemme At'em prepares  Intervene  on Erichthonios 3155+25% damage
05:12.473,Lemme At'em attack Erichthonios 1933 (Direct Hit)
05:12.695,Lemme At'em Circle of Scorn Erichthonios *4368* (Direct Hit)
05:12.874,Lemme At'em Intervene Erichthonios 3155
05:13.184,"Lemme At'em Blade of Valor Erichthonios Tick  1797 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
05:13.184,"Lemme At'em Circle of Scorn Erichthonios Tick  838 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
05:13.496,Lemme At'em prepares  Goring Blade  on Erichthonios 6926 (Direct Hit) (+60%)+25% damage
05:14.029,Lemme At'em Goring Blade Erichthonios 6926 (Direct Hit) (+60%)
05:14.074,Lemme At'em prepares  Expiacion  on Erichthonios *11627*+25% damage
05:14.208,Lemme At'em prepares  attack  on Erichthonios *2882* (Direct Hit)+25% damage
05:14.431,Lemme At'em Expiacion Erichthonios *11627*
05:14.743,Lemme At'em attack Erichthonios *2882* (Direct Hit)
05:14.743,Lemme At'em prepares  Intervene  on Erichthonios 3097+25% damage
05:15.320,Lemme At'em Intervene Erichthonios 3097
05:15.898,Lemme At'em prepares  Fast Blade  on Erichthonios *6668*+25% damage
05:16.210,"Lemme At'em Circle of Scorn Erichthonios Tick  776 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
05:16.210,"Lemme At'em Goring Blade Erichthonios Tick  1686 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:16.476,Lemme At'em prepares  attack  on Erichthonios 1837 (Direct Hit)+25% damage
05:16.521,Lemme At'em Fast Blade Erichthonios *6668*
05:17.009,Lemme At'em attack Erichthonios 1837 (Direct Hit)
05:18.345,Lemme At'em prepares  Riot Blade  on Erichthonios 6137 (+43%)+25% damage
05:18.746,Lemme At'em prepares  attack  on Erichthonios 1546+25% damage
05:19.100,Lemme At'em Riot Blade Erichthonios 6137 (+43%)
05:19.189,"Lemme At'em Circle of Scorn Erichthonios Tick  787 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
05:19.189,"Lemme At'em Goring Blade Erichthonios Tick  1712 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:19.278,Lemme At'em attack Erichthonios 1546
05:20.126,Lemme At'em prepares  Requiescat  on Erichthonios *10426*
05:20.751,Lemme At'em Requiescat Erichthonios *10426*
05:20.751,Lemme At'em prepares  Royal Authority  on Erichthonios *18422* (Direct Hit) (+69%)+25% damage
05:21.018,Lemme At'em prepares  attack  on Erichthonios 1527+25% damage
05:21.328,Lemme At'em Royal Authority Erichthonios *18422* (Direct Hit) (+69%)
05:21.552,Lemme At'em attack Erichthonios 1527
05:22.176,"Lemme At'em Circle of Scorn Erichthonios Tick  697 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
05:22.176,"Lemme At'em Goring Blade Erichthonios Tick  1515 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:23.198,Lemme At'em prepares  Atonement  on Erichthonios *18460* (Direct Hit)+25% damage
05:23.287,Lemme At'em prepares  attack  on Erichthonios 1930 (Direct Hit)+25% damage
05:23.820,Lemme At'em attack Erichthonios 1930 (Direct Hit)
05:24.487,Lemme At'em Atonement Erichthonios *18460* (Direct Hit)
05:25.201,"Lemme At'em Circle of Scorn Erichthonios Tick  734 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
05:25.201,"Lemme At'em Goring Blade Erichthonios Tick  1596 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:25.557,Lemme At'em prepares  attack  on Erichthonios 1445+25% damage
05:25.602,Lemme At'em prepares  Atonement  on Erichthonios 8711+25% damage
05:26.092,Lemme At'em attack Erichthonios 1445
05:26.892,Lemme At'em Atonement Erichthonios 8711
05:27.826,Lemme At'em prepares  attack  on Erichthonios 1430+25% damage
05:28.048,Lemme At'em prepares  Atonement  on Erichthonios 9406+25% damage
05:28.182,"Lemme At'em Goring Blade Erichthonios Tick  1818 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:28.359,Lemme At'em attack Erichthonios 1430
05:29.339,Lemme At'em Atonement Erichthonios 9406
05:30.095,Lemme At'em prepares  attack  on Erichthonios 1417+25% damage
05:30.452,Lemme At'em prepares  Fast Blade  on Erichthonios 4206+25% damage
05:30.629,Lemme At'em attack Erichthonios 1417
05:31.074,Lemme At'em Fast Blade Erichthonios 4206
05:31.209,"Lemme At'em Goring Blade Erichthonios Tick  2108 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:32.366,Lemme At'em prepares  attack  on Erichthonios *2316*+25% damage
05:32.857,Lemme At'em prepares  Riot Blade  on Erichthonios 6198 (+43%)+25% damage
05:32.901,Lemme At'em attack Erichthonios *2316*
05:33.612,Lemme At'em Riot Blade Erichthonios 6198 (+43%)
05:34.190,"Lemme At'em Goring Blade Erichthonios Tick  1903 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:34.636,Lemme At'em prepares  attack  on Erichthonios 1778 (Direct Hit)+25% damage
05:35.171,Lemme At'em attack Erichthonios 1778 (Direct Hit)
05:35.350,Lemme At'em prepares  Goring Blade  on Erichthonios *8795* (+60%)+25% damage
05:35.884,Lemme At'em Goring Blade Erichthonios *8795* (+60%)
05:36.909,Lemme At'em prepares  attack  on Erichthonios 1550 (Direct Hit)
05:37.220,"Lemme At'em Goring Blade Erichthonios Tick  1720 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:37.442,Lemme At'em attack Erichthonios 1550 (Direct Hit)
05:37.754,Lemme At'em prepares  Holy Spirit  on Erichthonios 11337 (Direct Hit)
05:38.512,Lemme At'em Holy Spirit Erichthonios 11337 (Direct Hit)
05:39.179,Lemme At'em prepares  attack  on Erichthonios 1467 (Direct Hit)
05:39.712,Lemme At'em attack Erichthonios 1467 (Direct Hit)
05:40.201,"Lemme At'em Goring Blade Erichthonios Tick  1484 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:40.246,Lemme At'em prepares  Holy Spirit  on Erichthonios 9229
05:41.001,Lemme At'em Holy Spirit Erichthonios 9229
05:41.446,Lemme At'em prepares  attack  on Erichthonios *1948*
05:41.669,Lemme At'em prepares  Circle of Scorn  on Erichthonios *2710*
05:41.979,Lemme At'em attack Erichthonios *1948*
05:42.693,Lemme At'em Circle of Scorn Erichthonios *2710*
05:42.737,Lemme At'em prepares  Holy Spirit  on Erichthonios *17570* (Direct Hit)
05:43.183,"Lemme At'em Goring Blade Erichthonios Tick  1671 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:43.183,"Lemme At'em Circle of Scorn Erichthonios Tick  614 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
05:43.495,Lemme At'em Holy Spirit Erichthonios *17570* (Direct Hit)
05:43.718,Lemme At'em prepares  attack  on Erichthonios 1188
05:44.074,Lemme At'em prepares  Expiacion  on Erichthonios 6046
05:44.251,Lemme At'em attack Erichthonios 1188
05:44.430,Lemme At'em Expiacion Erichthonios 6046
05:45.275,Lemme At'em prepares  Holy Spirit  on Erichthonios *14899*
05:45.988,Lemme At'em prepares  attack  on Erichthonios 1207
05:46.032,Lemme At'em Holy Spirit Erichthonios *14899*
05:46.211,"Lemme At'em Goring Blade Erichthonios Tick  1804 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:46.211,"Lemme At'em Circle of Scorn Erichthonios Tick  664 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
05:46.523,Lemme At'em attack Erichthonios 1207
05:47.770,Lemme At'em prepares  Confiteor  on Erichthonios *24633*
05:48.261,Lemme At'em prepares  attack  on Erichthonios 1509 (Direct Hit)
05:48.395,Lemme At'em Confiteor Erichthonios *24633*
05:48.794,Lemme At'em attack Erichthonios 1509 (Direct Hit)
05:49.196,"Lemme At'em Goring Blade Erichthonios Tick  1486 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:49.196,"Lemme At'em Circle of Scorn Erichthonios Tick  547 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
05:50.264,Lemme At'em prepares  Blade of Faith  on Erichthonios 7320
05:50.530,Lemme At'em prepares  attack  on Erichthonios *2469* (Direct Hit)
05:50.931,Lemme At'em Blade of Faith Erichthonios 7320
05:51.065,Lemme At'em attack Erichthonios *2469* (Direct Hit)
05:52.176,"Lemme At'em Goring Blade Erichthonios Tick  1550 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:52.176,"Lemme At'em Circle of Scorn Erichthonios Tick  570 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
05:52.755,Lemme At'em prepares  Blade of Truth  on Erichthonios 9011
05:52.800,Lemme At'em prepares  attack  on Erichthonios 1149
05:53.334,Lemme At'em attack Erichthonios 1149
05:53.687,Lemme At'em Blade of Truth Erichthonios 9011
05:55.067,Lemme At'em prepares  attack  on Erichthonios 1234
05:55.200,"Lemme At'em Goring Blade Erichthonios Tick  1424 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
05:55.200,"Lemme At'em Circle of Scorn Erichthonios Tick  524 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
05:55.245,Lemme At'em prepares  Blade of Valor  on Erichthonios *16578*
05:55.598,Lemme At'em attack Erichthonios 1234
05:56.174,Lemme At'em Blade of Valor Erichthonios *16578*
05:57.331,Lemme At'em prepares  attack  on Erichthonios *1804*
05:57.775,Lemme At'em prepares  Fast Blade  on Erichthonios 3596
05:57.864,Lemme At'em attack Erichthonios *1804*
05:58.177,"Lemme At'em Blade of Valor Erichthonios Tick  1453 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
05:58.400,Lemme At'em Fast Blade Erichthonios 3596
05:59.601,Lemme At'em prepares  attack  on Erichthonios 1128
06:00.135,Lemme At'em attack Erichthonios 1128
06:00.223,Lemme At'em prepares  Riot Blade  on Erichthonios 4995 (+43%)
06:00.979,Lemme At'em Riot Blade Erichthonios 4995 (+43%)
06:01.203,"Lemme At'em Blade of Valor Erichthonios Tick  1413 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
06:01.871,Lemme At'em prepares  attack  on Erichthonios 1169
06:02.405,Lemme At'em attack Erichthonios 1169
06:02.629,Lemme At'em prepares  Royal Authority  on Erichthonios 7299 (+69%)
06:03.207,Lemme At'em Royal Authority Erichthonios 7299 (+69%)
06:04.140,Lemme At'em prepares  attack  on Erichthonios 1206
06:04.185,"Lemme At'em Blade of Valor Erichthonios Tick  1677 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
06:04.674,Lemme At'em attack Erichthonios 1206
06:05.030,Lemme At'em prepares  Atonement  on Erichthonios *11538*
06:06.319,Lemme At'em Atonement Erichthonios *11538*
06:06.409,Lemme At'em prepares  attack  on Erichthonios 1223
06:06.943,Lemme At'em attack Erichthonios 1223
06:07.210,"Lemme At'em Blade of Valor Erichthonios Tick  1815 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
06:07.478,Lemme At'em prepares  Atonement  on Erichthonios 7175
06:08.678,Lemme At'em prepares  attack  on Erichthonios 1160
06:08.767,Lemme At'em Atonement Erichthonios 7175
06:09.212,Lemme At'em attack Erichthonios 1160
06:09.924,Lemme At'em prepares  Fast Blade  on Erichthonios 3531
06:10.191,"Lemme At'em Blade of Valor Erichthonios Tick  1934 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
06:10.546,Lemme At'em Fast Blade Erichthonios 3531
06:10.948,Lemme At'em prepares  attack  on Erichthonios 1234
06:11.483,Lemme At'em attack Erichthonios 1234
06:12.640,Lemme At'em prepares  Riot Blade  on Erichthonios 7215 (+43%)+39% damage
06:13.219,"Lemme At'em Blade of Valor Erichthonios Tick  1426 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
06:13.219,Lemme At'em prepares  attack  on Erichthonios 1707+39% damage
06:13.397,Lemme At'em Riot Blade Erichthonios 7215 (+43%)
06:13.753,Lemme At'em attack Erichthonios 1707
06:15.087,Lemme At'em prepares  Goring Blade  on Erichthonios 6158 (+60%)+46% damage
06:15.487,Lemme At'em prepares  attack  on Erichthonios *3690* (Direct Hit)+46% damage
06:15.621,Lemme At'em Goring Blade Erichthonios 6158 (+60%)
06:16.023,Lemme At'em attack Erichthonios *3690* (Direct Hit)
06:16.201,"Lemme At'em Goring Blade Erichthonios Tick  1916 (T: 1722, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2063)+46% damage"
06:17.492,Lemme At'em prepares  Fast Blade  on Erichthonios 5120+46% damage
06:17.759,Lemme At'em prepares  attack  on Erichthonios 1698+46% damage
06:18.070,Lemme At'em prepares  Circle of Scorn  on Erichthonios *4205*+46% damage
06:18.115,Lemme At'em Fast Blade Erichthonios 5120
06:18.292,Lemme At'em attack Erichthonios 1698
06:18.783,Lemme At'em prepares  Intervene  on Erichthonios *7426* (Direct Hit)+46% damage
06:19.093,Lemme At'em Circle of Scorn Erichthonios *4205*
06:19.182,"Lemme At'em Goring Blade Erichthonios Tick  2093 (T: 1722, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2063)+46% damage"
06:19.182,"Lemme At'em Circle of Scorn Erichthonios Tick  964 (T: 793, C: 24.2%, D: 19.2%, P/R: 18.36, G: 803.98, M: 1.46, S: 950)+46% damage"
06:19.360,Lemme At'em Intervene Erichthonios *7426* (Direct Hit)
06:19.893,Lemme At'em prepares  Riot Blade  on Erichthonios 9625 (Direct Hit) (+43%)+46% damage
06:20.027,Lemme At'em prepares  attack  on Erichthonios 1708+46% damage
06:20.470,Lemme At'em prepares  Requiescat  on Erichthonios *16437* (Direct Hit)+17% damage
06:20.559,Lemme At'em attack Erichthonios 1708
06:20.648,Lemme At'em Riot Blade Erichthonios 9625 (Direct Hit) (+43%)
06:21.138,Lemme At'em Requiescat Erichthonios *16437* (Direct Hit)
06:21.138,Lemme At'em prepares  Intervene  on Erichthonios *8028* (Direct Hit)+46% damage
06:21.715,Lemme At'em Intervene Erichthonios *8028* (Direct Hit)
06:22.205,"Lemme At'em Goring Blade Erichthonios Tick  2127 (T: 1722, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2063)+46% damage"
06:22.205,"Lemme At'em Circle of Scorn Erichthonios Tick  979 (T: 793, C: 24.2%, D: 19.2%, P/R: 18.36, G: 803.98, M: 1.46, S: 950)+46% damage"
