Time,Event
01:01.184,"Lemme At'em Blade of Valor Erichthonios Tick  2096 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
01:02.074,Lemme At'em Atonement Erichthonios 7338
01:02.207,Lemme At'em prepares  attack  on Erichthonios 1432 (Direct Hit)
01:02.742,Lemme At'em attack Erichthonios 1432 (Direct Hit)
01:03.230,Lemme At'em prepares  Fast Blade  on Erichthonios 4140 (Direct Hit)
01:03.854,Lemme At'em Fast Blade Erichthonios 4140 (Direct Hit)
01:04.211,"Lemme At'em Blade of Valor Erichthonios Tick  1536 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
01:04.477,Lemme At'em prepares  attack  on Erichthonios 1138
01:05.009,Lemme At'em attack Erichthonios 1138
01:05.630,Lemme At'em prepares  Riot Blade  on Erichthonios 8391 (Direct Hit) (+43%)+25% damage
01:06.298,Lemme At'em prepares  Circle of Scorn  on Erichthonios 2617 (Direct Hit)+25% damage
01:06.387,Lemme At'em Riot Blade Erichthonios 8391 (Direct Hit) (+43%)
01:06.744,Lemme At'em prepares  attack  on Erichthonios 1496+25% damage
01:07.190,"Lemme At'em Blade of Valor Erichthonios Tick  1825 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
01:07.279,Lemme At'em attack Erichthonios 1496
01:07.323,Lemme At'em Circle of Scorn Erichthonios 2617 (Direct Hit)
01:08.079,Lemme At'em prepares  Goring Blade  on Erichthonios 5491 (+60%)+25% damage
01:08.611,Lemme At'em Goring Blade Erichthonios 5491 (+60%)
01:09.011,Lemme At'em prepares  attack  on Erichthonios 1881 (Direct Hit)+25% damage
01:09.322,Lemme At'em prepares  Intervene  on Erichthonios *5118*+25% damage
01:09.544,Lemme At'em attack Erichthonios 1881 (Direct Hit)
01:09.899,Lemme At'em Intervene Erichthonios *5118*
01:10.213,"Lemme At'em Circle of Scorn Erichthonios Tick  715 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
01:10.213,"Lemme At'em Goring Blade Erichthonios Tick  1554 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:10.479,Lemme At'em prepares  Fast Blade  on Erichthonios 4242+25% damage
01:11.100,Lemme At'em Fast Blade Erichthonios 4242
01:11.189,Lemme At'em prepares  Expiacion  on Erichthonios 7672+25% damage
01:11.278,Lemme At'em prepares  attack  on Erichthonios 1425+25% damage
01:11.545,Lemme At'em Expiacion Erichthonios 7672
01:11.813,Lemme At'em attack Erichthonios 1425
01:12.926,Lemme At'em prepares  Riot Blade  on Erichthonios 6618 (+43%)+25% damage
01:13.193,"Lemme At'em Circle of Scorn Erichthonios Tick  766 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
01:13.193,"Lemme At'em Goring Blade Erichthonios Tick  1666 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:13.549,Lemme At'em prepares  attack  on Erichthonios 1447+25% damage
01:13.683,Lemme At'em Riot Blade Erichthonios 6618 (+43%)
01:14.084,Lemme At'em attack Erichthonios 1447
01:14.530,Lemme At'em prepares  Requiescat  on Erichthonios 6971
01:15.154,Lemme At'em Requiescat Erichthonios 6971
01:15.332,Lemme At'em prepares  Royal Authority  on Erichthonios 9122 (+69%)+25% damage
01:15.821,Lemme At'em prepares  attack  on Erichthonios 1450+25% damage
01:15.910,Lemme At'em Royal Authority Erichthonios 9122 (+69%)
01:15.956,Lemme At'em prepares  Intervene  on Erichthonios 3112+25% damage
01:16.178,"Lemme At'em Circle of Scorn Erichthonios Tick  738 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
01:16.178,"Lemme At'em Goring Blade Erichthonios Tick  1603 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:16.355,Lemme At'em attack Erichthonios 1450
01:16.532,Lemme At'em Intervene Erichthonios 3112
01:17.777,Lemme At'em prepares  Atonement  on Erichthonios 9441+25% damage
01:18.090,Lemme At'em prepares  attack  on Erichthonios 1478+25% damage
01:18.625,Lemme At'em attack Erichthonios 1478
01:19.070,Lemme At'em Atonement Erichthonios 9441
01:19.204,"Lemme At'em Circle of Scorn Erichthonios Tick  819 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
01:19.204,"Lemme At'em Goring Blade Erichthonios Tick  1782 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:20.182,Lemme At'em prepares  Atonement  on Erichthonios 8643+25% damage
01:20.359,Lemme At'em prepares  attack  on Erichthonios 1503+25% damage
01:20.892,Lemme At'em attack Erichthonios 1503
01:21.470,Lemme At'em Atonement Erichthonios 8643
01:22.182,"Lemme At'em Circle of Scorn Erichthonios Tick  731 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
01:22.182,"Lemme At'em Goring Blade Erichthonios Tick  1589 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:22.628,Lemme At'em prepares  attack  on Erichthonios 1440+25% damage
01:22.673,Lemme At'em prepares  Atonement  on Erichthonios *13951*+25% damage
01:23.162,Lemme At'em attack Erichthonios 1440
01:23.964,Lemme At'em Atonement Erichthonios *13951*
01:24.899,Lemme At'em prepares  attack  on Erichthonios 1538+25% damage
01:25.078,Lemme At'em prepares  Fast Blade  on Erichthonios 4296+25% damage
01:25.211,"Lemme At'em Goring Blade Erichthonios Tick  1444 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:25.432,Lemme At'em attack Erichthonios 1538
01:25.700,Lemme At'em Fast Blade Erichthonios 4296
01:27.169,Lemme At'em prepares  attack  on Erichthonios *2298*+25% damage
01:27.482,Lemme At'em prepares  Riot Blade  on Erichthonios *13420* (Direct Hit) (+43%)+25% damage
01:27.704,Lemme At'em attack Erichthonios *2298*
01:28.195,"Lemme At'em Goring Blade Erichthonios Tick  1723 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:28.239,Lemme At'em Riot Blade Erichthonios *13420* (Direct Hit) (+43%)
01:29.440,Lemme At'em prepares  attack  on Erichthonios 1551+25% damage
01:29.885,Lemme At'em prepares  Goring Blade  on Erichthonios *10663* (Direct Hit) (+60%)+25% damage
01:29.974,Lemme At'em attack Erichthonios 1551
01:30.419,Lemme At'em Goring Blade Erichthonios *10663* (Direct Hit) (+60%)
01:31.218,"Lemme At'em Goring Blade Erichthonios Tick  1702 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:31.706,Lemme At'em prepares  attack  on Erichthonios 1496 (Direct Hit)
01:32.241,Lemme At'em attack Erichthonios 1496 (Direct Hit)
01:32.374,Lemme At'em prepares  Holy Spirit  on Erichthonios 11578 (Direct Hit)
01:33.132,Lemme At'em Holy Spirit Erichthonios 11578 (Direct Hit)
01:33.978,Lemme At'em prepares  attack  on Erichthonios *1896*
01:34.200,"Lemme At'em Goring Blade Erichthonios Tick  1737 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
01:34.510,Lemme At'em attack Erichthonios *1896*
01:34.867,Lemme At'em prepares  Holy Spirit  on Erichthonios 9390
01:35.623,Lemme At'em Holy Spirit Erichthonios 9390
01:36.246,Lemme At'em prepares  attack  on Erichthonios 1232
